subject	n1	n2	ntrials	ncorrect
142	1	2	68	42
142	2	3	26	12
142	3	4	6	2
143	1	2	28	22
143	2	3	29	21
143	3	4	19	10
143	4	5	9	5
143	5	6	5	4
143	6	7	5	3
143	7	8	3	2
143	8	9	2	1
144	1	2	54	30
144	2	3	25	13
144	3	4	8	4
144	4	5	5	4
144	5	6	6	4
144	6	7	2	0
145	1	2	53	37
145	2	3	39	23
145	3	4	8	2
146	1	2	35	23
146	2	3	18	9
146	3	4	13	10
146	4	5	20	16
146	5	6	12	5
146	6	7	2	0
147	1	2	68	39
147	2	3	21	8
147	3	4	9	6
147	4	5	2	0
148	1	2	65	41
148	2	3	31	15
148	3	4	4	0
149	1	2	61	32
149	2	3	26	15
149	3	4	11	6
149	4	5	2	0
150	1	2	50	31
150	2	3	27	15
150	3	4	12	7
150	4	5	8	5
150	5	6	3	1
151	1	2	58	40
151	2	3	30	15
151	3	4	8	5
151	4	5	3	2
151	5	6	1	0
152	1	2	67	40
152	2	3	27	13
152	3	4	6	2
153	1	2	44	33
153	2	3	33	20
153	3	4	14	7
153	4	5	7	4
153	5	6	2	1
154	1	2	49	32
154	2	3	35	24
154	3	4	14	4
154	4	5	2	1
155	1	2	53	34
155	2	3	27	15
155	3	4	15	10
155	4	5	5	1
156	1	2	40	28
156	2	3	39	28
156	3	4	16	5
156	4	5	4	3
156	5	6	1	0
157	1	2	58	36
157	2	3	33	18
157	3	4	8	3
157	4	5	1	0
158	1	2	63	36
158	2	3	29	17
158	3	4	8	3
159	1	2	27	17
159	2	3	18	13
159	3	4	18	13
159	4	5	12	6
159	5	6	12	10
159	6	7	10	5
159	7	8	3	1
